word,due,difficulty,stability,factor,ivl
付き合い,5,9.949000358581543,7.0,2000,6
気候,5,9.949000358581543,38.720001220703125,1300,100
上等,5,9.015000343322754,14.039999961853027,1900,10
塗る,5,10.0,3.9100000858306885,1900,4
普通,5,9.848999977111816,32.540000915527344,1400,46
手袋,5,8.218999862670898,6.869999885559082,2200,5
漫画,5,9.89900016784668,5.239999771118164,2300,6
済む,5,9.70300006866455,15.930000305175781,1600,11
負ける,5,10.0,19.479999542236328,2450,15
届ける,5,9.949000358581543,10.3100004196167,1350,6
必要,5,9.055999755859375,14.65999984741211,2500,13
今度,5,4.947000026702881,121.16999816894531,2350,88
今度,5,5.763999938964844,80.16999816894531,2250,19
引く,5,,,2500,244
所,5,6.565999984741211,41.16999816894531,2350,38
もう一度,5,5.789999961853027,11.380000114440918,2100,9
道,5,5.702000141143799,4.260000228881836,2450,3
帰る,5,,,2650,274
頼む,5,10.0,5.909999847412109,1600,5
良く,5,10.0,17.84000015258789,1650,15
増殖,5,9.89900016784668,17.65999984741211,1400,13
浮遊,5,10.0,2.7100000381469727,1300,2
魔法,5,9.949000358581543,6.739999771118164,1950,5
手放し,5,9.737000465393066,8.390000343322754,2250,6
遺物,5,9.663999557495117,37.040000915527344,2000,23
起動,5,9.751999855041504,21.200000762939453,2250,19
精一杯,5,10.0,20.68000030517578,2350,27
滋養,5,9.848999977111816,5.300000190734863,1450,4
無理やり,5,9.949000358581543,5.849999904632568,2200,8
抹消,5,9.89900016784668,10.850000381469727,2150,6
思案,5,9.54800033569336,62.119998931884766,1350,57
思案,5,9.949000358581543,3.240000009536743,1750,3
不安定,5,10.0,7.190000057220459,1300,6
材質,5,9.949000358581543,5.300000190734863,1350,3
足元,5,9.949000358581543,5.679999828338623,1850,7
林檎,5,7.500999927520752,9.430000305175781,2350,6
個,5,9.70300006866455,28.549999237060547,1550,22
痴漢,5,10.0,6.78000020980835,1950,5
弁,5,10.0,5.349999904632568,2350,4
遭遇,5,9.89900016784668,7.150000095367432,1450,6
本書,5,10.0,3.9200000762939453,1400,2
感性,5,9.654000282287598,58.849998474121094,2100,227
涎,5,9.055000305175781,53.560001373291016,2500,44
力士,5,,,2500,769
景品,5,9.949000358581543,5.619999885559082,1350,4
くるくる,5,9.949000358581543,12.779999732971191,2400,17
実技,5,7.913000106811523,60.36000061035156,2250,27
特典,5,9.70300006866455,37.029998779296875,2250,19
修復,5,10.0,3.059999942779541,1300,2
困惑,5,9.949000358581543,6.199999809265137,1950,8
大騒ぎ,5,8.916999816894531,58.7599983215332,1700,73
煮込む,5,9.89900016784668,6.210000038146973,2050,8
圧巻,5,10.0,7.760000228881836,2000,6
時点,5,9.435999870300293,6.21999979019165,2600,4
耐久,5,9.57800006866455,71.9800033569336,2350,29
決戦,5,9.800000190734863,24.420000076293945,1850,47
夕食,5,9.800000190734863,16.1299991607666,2200,14
蜂,5,10.0,6.869999885559082,2300,5
鶏,5,9.59000015258789,44.06999969482422,2200,170
紛れもない,5,9.949000358581543,21.530000686645508,1950,28
ぶら下がる,5,9.89900016784668,24.68000030517578,1850,68
天使,5,9.020000457763672,63.779998779296875,2600,246
内蔵,5,9.848999977111816,46.099998474121094,1900,100
負荷,5,8.894000053405762,61.2599983215332,1750,21
お願い,5,10.0,22.09000015258789,1650,17
海豚,5,9.97700023651123,42.0099983215332,2500,131
伸び伸び,5,8.267999649047852,17.270000457763672,2000,15
認証,5,9.949000358581543,15.989999771118164,1350,15
誉れ,5,8.909000396728516,28.719999313354492,2500,78
上がり下り,5,9.848999977111816,8.1899995803833,2300,6
超人的,5,9.848999977111816,7.630000114440918,2550,48
追いかける,5,10.0,6.429999828338623,1950,5
王座、玉座,5,9.949000358581543,8.079999923706055,1700,10
ギャフン,5,9.583000183105469,45.630001068115234,2200,176
亜,5,10.0,16.239999771118164,2050,15
固まり、塊,5,10.0,2.9700000286102295,1750,2
間合い,5,9.949000358581543,1.440000057220459,1500,2
叡智,5,8.059000015258789,64.88999938964844,1700,47
無骨,5,9.949000358581543,17.739999771118164,2000,19
採れる,5,9.949000358581543,20.329999923706055,2500,79
冥王星,5,10.0,9.970000267028809,1500,9
居続ける,5,9.800000190734863,8.170000076293945,1850,6
極域,5,8.859999656677246,50.5099983215332,1600,19
蛭,5,9.949000358581543,6.050000190734863,1300,5
王家,5,,,2450,265
就ける,5,8.854000091552734,45.75,2450,79
尚も,5,9.800000190734863,63.439998626708984,1400,27
討伐,5,9.744999885559082,75.5,1350,19
火炎,5,9.848999977111816,12.210000038146973,2350,36
精霊,5,9.800000190734863,7.179999828338623,1450,4
伝令,5,9.751999855041504,19.3799991607666,2150,44
祭祀,5,10.0,16.950000762939453,2300,19
又しても、又も,5,9.848999977111816,5.360000133514404,1700,5
陽電子,5,9.097999572753906,13.520000457763672,3050,12
襤褸い,5,9.848999977111816,16.479999542236328,2000,49
臍繰り,5,9.89900016784668,7.699999809265137,1400,9
駆け寄る,5,9.89900016784668,40.70000076293945,2300,107
根絶,5,9.949000358581543,7.710000038146973,1800,6
烙印,5,9.751999855041504,16.93000030517578,2200,39
呟き,5,10.0,5.650000095367432,2300,4
海獺,5,9.949000358581543,7.860000133514404,1350,6
乱入,5,10.0,1.940000057220459,2150,2
粗挽き,5,9.800000190734863,12.619999885559082,1500,11
凶暴,5,9.800000190734863,17.239999771118164,2500,20
通風口、通風孔,5,9.949000358581543,16.649999618530273,1850,13
平,5,9.395999908447266,26.81999969482422,2200,51
平,5,9.949000358581543,4.940000057220459,1350,6
向き合う,5,9.857999801635742,38.5,2200,114
退治,6,9.949000358581543,6.739999771118164,1350,8
浮かぶ,6,9.800000190734863,8.699999809265137,1600,8
群がる,6,9.800000190734863,22.469999313354492,1550,19
魂,6,9.848999977111816,13.25,1850,12
優先,6,9.800000190734863,12.4399995803833,1450,9
負担,6,10.0,4.320000171661377,2000,4
時折,6,9.720000267028809,18.440000534057617,1450,15
澄ます,6,10.0,20.190000534057617,1650,56
冊,6,9.89900016784668,14.6899995803833,2500,79
不可欠,6,9.414999961853027,11.25,2350,9
返済,6,8.973999977111816,15.600000381469727,1450,11
認める,6,9.949000358581543,5.110000133514404,1300,4
修行,6,10.0,12.859999656677246,1350,10
説得,6,8.935999870300293,12.489999771118164,2250,10
規定,6,10.0,13.050000190734863,2250,12
規定,6,9.949000358581543,6.659999847412109,1350,8
対処,6,10.0,40.880001068115234,1300,21
集計,6,9.848999977111816,14.960000038146973,2300,54
正当,6,9.70300006866455,32.970001220703125,1700,32
滅びる,6,9.89900016784668,20.43000030517578,2200,55
驚異,6,9.751999855041504,17.899999618530273,1550,14
歪む,6,10.0,18.799999237060547,2100,13
綺麗,6,8.916999816894531,39.810001373291016,1950,54
熱湯,6,9.949000358581543,6.159999847412109,1750,6
裾,6,9.949000358581543,39.43000030517578,1300,108
滅亡,6,10.0,21.989999771118164,1400,15
弁償,6,9.949000358581543,6.179999828338623,1750,6
特有,6,9.487000465393066,42.5099983215332,1700,23
兆し,6,9.848999977111816,12.970000267028809,1900,11
偶に,6,6.616000175476074,28.84000015258789,2200,9
捕獲,6,9.89900016784668,6.789999961853027,1400,6
不良,6,5.75600004196167,8.140000343322754,1850,22
纏め,6,10.0,6.210000038146973,2100,6
添える,6,9.751999855041504,22.40999984741211,2150,60
応募,6,10.0,20.139999389648438,1300,15
細やか,6,9.75100040435791,14.84000015258789,1500,11
規模,6,9.70300006866455,26.829999923706055,1600,39
果たす,6,9.89900016784668,51.779998779296875,1400,22
復活,6,8.83899974822998,67.20999908447266,1400,47
記す,6,10.0,6.300000190734863,1300,6
崖,6,8.798999786376953,94.33999633789062,1650,29
付け加える,6,9.89900016784668,11.789999961853027,1750,11
目茶苦茶,6,5.8429999351501465,14.050000190734863,2500,9
不規則,6,9.89900016784668,4.260000228881836,1600,6
浴衣,6,9.949000358581543,8.039999961853027,1400,7
寮,6,9.89900016784668,15.609999656677246,1450,16
南北,6,9.800000190734863,16.18000030517578,2250,54
乾かす,6,9.57800006866455,74.91999816894531,1350,61
うっかり,6,9.949000358581543,4.380000114440918,1400,6
散らかす,6,10.0,5.53000020980835,1300,4
覗く,6,9.751999855041504,29.389999389648438,2400,21
交流,6,9.656000137329102,34.09000015258789,1450,38
流行る,6,9.949000358581543,2.9600000381469727,2050,3
気をつける,6,9.055999755859375,13.229999542236328,2050,10
納得,6,9.751999855041504,21.450000762939453,1750,12
間,6,10.0,9.329999923706055,1300,7
皿,6,9.949000358581543,10.0,2200,12
生,6,9.949000358581543,8.960000038146973,1850,7
名,6,9.800000190734863,16.65999984741211,1550,16
基本,6,10.0,31.450000762939453,1600,95
作品,6,9.949000358581543,4.429999828338623,2300,6
命令,6,9.800000190734863,7.980000019073486,1850,6
時期,6,9.75100040435791,15.670000076293945,1550,15
営業,6,9.949000358581543,3.3399999141693115,1400,4
首相,6,10.0,48.47999954223633,1750,187
そっくり,6,9.949000358581543,6.639999866485596,1350,5
方法,6,10.0,5.900000095367432,1300,4
承認,6,10.0,14.359999656677246,1300,11
贅沢,6,9.848999977111816,9.119999885559082,1600,8
訴える,6,9.848999977111816,31.010000228881836,1450,20
際,6,9.75100040435791,19.559999465942383,1950,13
抜く,6,9.553999900817871,52.630001068115234,2200,203
激しい,6,9.949000358581543,12.369999885559082,1850,12
優勝,6,9.751999855041504,25.809999465942383,2450,23
譲る,6,9.949000358581543,5.849999904632568,1300,5
求める,6,10.0,3.8499999046325684,1450,3
訓練,6,9.89900016784668,6.800000190734863,1850,8
永遠,6,9.140000343322754,55.709999084472656,2350,22
批判,6,10.0,28.81999969482422,1350,19
需要,6,9.949000358581543,21.860000610351562,2100,32
操作,6,9.949000358581543,37.84000015258789,2100,20
曇り,6,10.0,10.710000038146973,2050,6
演説,6,8.973999977111816,57.349998474121094,1950,64
注目,6,10.0,2.0999999046325684,1300,2
無事,6,10.0,4.849999904632568,1300,5
厄介,6,9.751999855041504,21.84000015258789,1700,21
心臓,6,9.949000358581543,19.829999923706055,1850,13
遠慮,6,9.949000358581543,6.380000114440918,1450,5
評判,6,9.097999572753906,26.190000534057617,1550,18
予測,6,9.949000358581543,5.96999979019165,1350,8
知恵,6,10.0,7.309999942779541,1850,6
宅,6,10.0,4.980000019073486,1300,3
手段,6,8.934000015258789,36.75,1500,31
延期,6,10.0,5.429999828338623,1700,4
順調,6,9.89900016784668,6.429999828338623,1500,8
左右,6,9.100000381469727,21.719999313354492,2500,36
不思議,6,8.784000396728516,66.19999694824219,1600,55
困難,6,10.0,3.440000057220459,1400,4
化粧,6,9.848999977111816,8.899999618530273,1500,7
合う,6,9.800000190734863,4.829999923706055,2400,4
水道,6,9.848999977111816,12.899999618530273,2500,17
光る,6,10.0,6.510000228881836,1850,5
非常に,6,10.0,5.449999809265137,1650,4
空港,6,7.38100004196167,3.119999885559082,2500,2
講義,6,9.621000289916992,12.329999923706055,1550,11
予約,6,9.736000061035156,56.38999938964844,2250,29
連絡,6,9.588000297546387,16.790000915527344,1550,11
運ぶ,6,,,2500,383
恥ずかしい,6,9.633000373840332,40.16999816894531,2100,30
行う,6,9.800000190734863,24.190000534057617,1400,34
斯う,6,9.036999702453613,20.200000762939453,2200,18
差し上げる,6,7.736000061035156,80.08999633789062,1800,68
嫌,6,9.70300006866455,29.649999618530273,1850,29
花,6,,,2500,245
肉,6,8.300999641418457,8.930000305175781,2000,7
狭い,6,10.0,15.8100004196167,1900,14
雪,6,9.949000358581543,6.039999961853027,2050,5
習性,6,9.949000358581543,6.840000152587891,1450,6
激突,6,9.800000190734863,17.920000076293945,1900,27
発祥,6,9.89900016784668,22.469999313354492,2000,45
出場,6,9.800000190734863,18.1299991607666,1850,48
傷つける,6,9.949000358581543,3.1500000953674316,1800,4
堅固,6,9.89900016784668,8.140000343322754,1400,5
秘める,6,9.70300006866455,21.40999984741211,2300,21
検証,6,9.848999977111816,3.799999952316284,1400,4
抜粋,6,9.949000358581543,3.5299999713897705,1300,4
被疑者,6,10.0,5.090000152587891,1800,3
遠距離,6,10.0,4.260000228881836,1450,2
希少,6,10.0,4.309999942779541,1450,3
煮詰める,6,9.75100040435791,18.739999771118164,1950,17
聖職者,6,9.800000190734863,42.52000045776367,2500,103
主,6,9.949000358581543,29.729999542236328,2500,139
呉服,6,,,2650,257
映し出す,6,10.0,3.7200000286102295,1950,3
店頭,6,10.0,27.84000015258789,2050,110
符合,6,9.89900016784668,7.360000133514404,1500,7
盗賊,6,10.0,7.610000133514404,1350,6
壊滅,6,8.885000228881836,44.59000015258789,1650,27
巻き込む,6,9.848999977111816,14.210000038146973,2150,13
肝,6,9.704000473022461,15.619999885559082,1950,13
党首,6,9.579999923706055,35.7400016784668,2350,48
文化庁,6,9.949000358581543,4.869999885559082,1850,6
奇跡,6,9.751999855041504,22.959999084472656,1850,26
当店,6,8.947999954223633,13.869999885559082,2600,9
累計,6,8.107999801635742,43.54999923706055,2250,56
触れ合い,6,9.89900016784668,6.199999809265137,1500,8
絶妙,6,9.89900016784668,13.520000457763672,1400,11
種族,6,8.090999603271484,26.81999969482422,2100,19
鍵盤,6,9.89900016784668,4.130000114440918,1550,4
主,6,9.800000190734863,16.450000762939453,2500,13
切り離す,6,9.848999977111816,12.920000076293945,2300,12
兜,6,9.652000427246094,55.099998474121094,2350,42
当然,6,10.0,5.269999980926514,1300,4
脅威,6,9.619000434875488,37.849998474121094,2200,146
"
超える",6,10.0,2.1500000953674316,1750,2
捲る,6,9.949000358581543,3.5399999618530273,1400,3
頑張り屋,6,10.0,2.109999895095825,2300,2
夜食,6,7.4670000076293945,5.179999828338623,1750,5
思い浮かべる,6,10.0,3.2200000286102295,2000,2
気になる,6,7.224999904632568,109.5199966430664,1800,80
寄付,6,9.949000358581543,9.210000038146973,1350,10
凡例,6,9.949000358581543,27.889999389648438,1950,75
お／ご + verb-stem + なる,6,9.89900016784668,7.869999885559082,2150,9
掻い潜る,6,9.89900016784668,11.850000381469727,1400,12
刺々,6,9.89900016784668,11.0,2100,9
灼熱,6,8.894000053405762,50.5099983215332,1700,23
二日酔い,6,9.532999992370605,27.209999084472656,1850,28
約束を守る,6,9.800000190734863,23.690000534057617,2250,19
祠,6,9.751999855041504,25.780000686645508,1950,27
切り立つ,6,,,2650,336
爆誕,6,9.949000358581543,9.0,2050,12
公転,6,9.89900016784668,8.170000076293945,2050,6
廃熱,6,10.0,7.860000133514404,1850,7
師,6,9.848999977111816,9.609999656677246,2050,7
陣,6,9.75100040435791,19.520000457763672,2050,17
行商人,6,8.847999572753906,21.760000228881836,1800,15
纏わる,6,9.89900016784668,12.0600004196167,1550,7
給う,6,9.949000358581543,7.150000095367432,1600,9
怪力,6,10.0,22.780000686645508,1900,83
住まう,6,10.0,4.679999828338623,1550,3
安置,6,9.70300006866455,49.720001220703125,1350,37
縫いぐるみ,6,9.704000473022461,23.010000228881836,2250,15
花開く,6,8.906000137329102,40.959999084472656,2800,158
響き渡る,6,9.800000190734863,15.289999961853027,2150,19
墓所,6,9.001999855041504,54.439998626708984,2650,210
黄,6,9.89900016784668,10.369999885559082,2350,6
牢獄,6,9.70300006866455,28.950000762939453,1550,24
遊泳,6,10.0,6.03000020980835,1450,6
餌食,6,9.817999839782715,15.170000076293945,1350,11
捻じ曲げる,6,10.0,9.920000076293945,1650,7
形作る,6,8.123000144958496,42.880001068115234,2250,38
暮れ暮れ,6,9.848999977111816,38.939998626708984,2250,80
病原菌,6,10.0,6.489999771118164,2250,5
根絶,6,9.89900016784668,27.34000015258789,1950,71
選りによって,6,9.545000076293945,21.260000228881836,2250,34
どん詰り,6,9.751999855041504,21.969999313354492,1550,17
雛,7,8.876999855041504,45.02000045776367,1850,61
投資,7,9.949000358581543,41.22999954223633,2200,115
訪れる,7,,,2200,381
絡む,7,9.949000358581543,26.780000686645508,1350,18
蕾,7,9.800000190734863,16.93000030517578,1500,14
銃,7,9.04699993133545,7.010000228881836,2100,5
蔵,7,9.89900016784668,8.880000114440918,1800,6
獲物,7,9.532999992370605,28.229999542236328,1650,26
参上,7,10.0,24.229999542236328,2150,20
骨,7,9.800000190734863,8.140000343322754,1950,8
齎す,7,10.0,9.3100004196167,1300,5
結びつく,7,9.89900016784668,2.5399999618530273,1400,3
雷,7,9.949000358581543,6.960000038146973,1950,9
転換,7,9.680000305175781,19.100000381469727,2050,13
取材,7,10.0,17.479999542236328,1550,12
重宝,7,10.0,6.46999979019165,1350,5
接触,7,9.612000465393066,37.849998474121094,2300,163
心地,7,9.75100040435791,11.569999694824219,2250,8
存続,7,9.89900016784668,26.950000762939453,1400,46
背景,7,9.949000358581543,8.229999542236328,2100,9
参照,7,9.654999732971191,17.8799991607666,1600,12
診療,7,9.015000343322754,9.649999618530273,1900,10
提供,7,8.027999877929688,94.69000244140625,1850,88
破棄,7,10.0,6.789999961853027,1900,5
審判,7,9.848999977111816,14.779999732971191,1450,13
漂う,7,9.949000358581543,18.860000610351562,1350,20
先,7,6.711999893188477,4.099999904632568,2150,4
醤油,7,9.848999977111816,42.86000061035156,2000,106
消極的,7,9.848999977111816,10.430000305175781,1450,9
手帳,7,9.89900016784668,10.630000114440918,1400,12
見学,7,9.949000358581543,3.009999990463257,1300,4
要領,7,10.0,6.960000038146973,1700,6
特殊,7,9.848999977111816,4.070000171661377,1350,4
治める,7,9.949000358581543,9.569999694824219,2000,11
身分,7,4.929999828338623,104.4000015258789,1950,22
炭鉱,7,10.0,32.439998626708984,1300,115
標準,7,9.704000473022461,30.040000915527344,1800,20
書店,7,8.956999778747559,15.869999885559082,2550,13
接続,7,9.800000190734863,16.65999984741211,2200,15
苦情,7,10.0,16.440000534057617,1950,14
足りる,7,9.848999977111816,26.25,2350,22
辞める,7,9.949000358581543,11.300000190734863,1650,12
豆,7,9.78499984741211,29.68000030517578,2300,58
家具,7,10.0,29.43000030517578,2150,20
確実,7,9.89900016784668,6.829999923706055,1450,5
生,7,9.777000427246094,42.560001373291016,1900,91
建築,7,8.973999977111816,49.83000183105469,2350,96
